招生学院	所在校区	一级学科	报考专业代码	二级学科	专硕or学硕	一年学费	排名方式	专业学制	专业说明	政治	外语	业务课一	业务课二	科目一	科目二	初试参考书名称	作者	版本号	出版社	说明	初试参考书图片名称	复试参考书名称	作者	版本号	出版社	说明	复试参考书图片名称	拟录取名单	复试名单	2021	2020	2019	2018
海洋地球科学学院	崂山校区	0709地质学	070900	地质学	学硕	8000	初试成绩按本专业排名	三年	-	101思想政治理论	201英语一	664沉积岩石学	983地球科学概论	F0401地质学综合	-	沉积岩石学#地球科学概论#普通地质学	朱筱敏#汪新文#舒良树	第四版#第二版#暂无	石油工业出版社#地质出版社#地质出版社	此书内容前一半是沉积岩石学，后一半是沉积相#内容较少，除了目录与考纲相近之外，参考价值不大#非常重要，内容全面，跨考的同学可以看下舒老师的网课	cjysx.jpg#dqkxgl.jpg#ptdzx.jpg	-	-	-	-	-	-	2021-dzx.xls	2021-dzx.xls#2020-dzx.xls	20#20#19#5%#-#280#-	24#3#20#0#-#288#-	21#-#-#-#53#290#2.5:1	17#-#-#-#32#280#1.9:1
海洋地球科学学院	崂山校区	0818地质资源与地质工程	081800	地质资源与地质工程	学硕	8000	初试成绩按本专业排名	三年	-	101思想政治理论	201英语一	302数学二	974应用地球物理学基础	F0402地球物理勘探综合	-	重力与磁法勘探#电法勘探原理与方法#地震勘探原理	焦新华#刘国兴#陆基孟	-#-#第三版	地质出版社#地质出版社#中国石油大学出版社	非常基础和全面的课本，内容比较多，要参考大纲对应着看比较重要的章节，系统看一遍然后再刷真题，不会的知识再从书里面查，相当于是工具书，以下两本用法一致#结合大纲和真题梳理内容#结合大纲和真题梳理内容	2.jpg#1.jpg#3.jpg	-	-	-	-	-	-	2021-dzzyydzgc.xls	2021-dzzyydzgc.xls#2020-dzzyydzgc.xls	24#32#24#25%#-#288#-	23#15#26#0#-#288#-	22#-#-#-#260#20#0.9:1	22#-#-#-#41#255#1.9：1
海洋地球科学学院	崂山校区	0857资源与环境（专业学位）	085700	资源与环境(地质资源勘探方向）	专硕	10000	初试成绩按本专业排名	三年	-	101思想政治理论	204英语二	302数学二	973地质学基础	F0401地质学综合或F0402地球物理勘探综合（任选一门）	-	地质学基础#地球化学	杨坤光#高山 张宏飞	最新版#最新版	中国地质大学出版社#地质出版社	基本内容包括矿物学、岩石学、构造地质学、古生物地史学和地球化学。重点是岩石学、构造地质学、矿物学这三个部分比重大、分值高；其次是古生物地史学和地球化学，这两门课比重低、分值低。总的来说重要性大概是岩石学=构造地质学＞矿物学＞古生物地史学=地球化学。复习顺序也最好按照上述顺序来，时间紧张的话地史学的内容可以放一放，毕竟内容很多、分值低。#结合大纲和真题梳理内容	4.jpg#dqhx.jpg	-	-	-	-	-	-	2021-zyyhj.xls	2021-zyyhjdzzyktfx.xls#2020-zyyhjdzzyktfx.xls	16#9#16#0#-#263#-	15#7#16#0#-#264#-	15#-#-#-#22#260#1.5:1	15#-#-#-#35#255#2.3:1
水产学院	鱼山校区	0710生物学	071002	动物学	学硕	8000	初试成绩按一级学科排名	三年	-	101思想政治理论	201英语一	612生物化学A	835基础生物学	F0501细胞生物学	 -	生物化学（上下册）#动物生物学#植物生物学	朱圣庚、徐长法、王镜岩#许崇任、程红#周云龙	第4版#第2版#第3版	高等教育出版社#高等教育出版社#高等教育出版社	612生化-生化比较难啃，而且海大的题目考察较为细致，复习初期要熟悉课本的知识点，配套习题巩固知识点；真题很重要！务必利用好，结合真题分析考点，揣摩复习重点#835生物-结合大纲梳理知识点，并配合真题，海大的题目重复率蛮高，真题好好用#835生物-结合大纲梳理知识点，并配合真题，背诵知识点	1.jpg#2.png#3.png	细胞生物学	翟中和	 -	高等教育出版社	结合复试大纲和真题梳理考点	4.jpg	2021-1.xls	2021-1.xls#2020-1.xls	7#6#6#0#-#284#-	8#9#8#11.1%#-#319#-	8#-#-#-#28#330#3.5:1	6#-#-#-#34#331#5.7:1
水产学院	鱼山校区	0710生物学	071004	水生生物学	学硕	8000	初试成绩按一级学科排名	三年	-	101思想政治理论	201英语一	612生物化学A	835基础生物学	F0501细胞生物学	 -	生物化学（上下册）#动物生物学#植物生物学	朱圣庚、徐长法、王镜岩#许崇任、程红#周云龙	第4版#第2版#第3版	高等教育出版社#高等教育出版社#高等教育出版社	612生化-生化比较难啃，而且海大的题目考察较为细致，复习初期要熟悉课本的知识点，配套习题巩固知识点；真题很重要！务必利用好，结合真题分析考点，揣摩复习重点#835生物-结合大纲梳理知识点，并配合真题，海大的题目重复率蛮高，真题好好用#835生物-结合大纲梳理知识点，并配合真题，背诵知识点	1.jpg#2.png#3.png	细胞生物学	翟中和	 -	高等教育出版社	结合复试大纲和真题梳理考点	4.jpg	2021-2.xls	2021-1.xls#2020-1.xls	15#22#19#13.6%#-#284#-	18#32#25#21.9%#-#319#-	10-#-#-#54#330#5.4:1	14#-#-#-#72#341#5.1:1
水产学院	鱼山校区	0908水产	090801	水产养殖	学硕	8000	初试成绩按本专业排名	三年	-	101思想政治理论	201英语一	315化学（农）	416普通动物学与普通生态学	F0502水产养殖学综合考试	 -	普通化学#定量分析简明教程#有机化学#普通动物学#基础生态学#养殖水域生态学	赵士铎#赵士铎#汪小兰#刘凌云#牛翠娟#董双林	第四版#第三版#第五版#第四版#第三版#-	中国农业大学出版社#中国农业大学出版社#高等教育出版社#高等教育出版社#高等教育出版#中国农业大学出版社	315化学（农）推荐教材，为全国统考,前期也可以结合视频促进理解#315化学（农）推荐教材#315化学（农）推荐教材结合大纲知识点#动物学的体量要比生态学的大一些，结合大纲和真题掌握好知识点#通过大纲和真题去掌握相应知识点#基础生态学的辅助用书	11.png#12.png#13.png#5.jpg#6.jpg#7.jpg	鱼类增养殖学#虾蟹类增养殖学#贝类增养殖学	王武#王克行#常亚青		中国农业出版社#中国农业出版社#中国农业出版社	结合大纲梳理知识点#结合大纲梳理知识点#结合大纲梳理知识点	8.jpg#9.jpg#10.jpg	2021-3.xls	2021-3.xls#2020-3.xls	13#22#19#13.6%#-#364#-	20#33#30#9.0%#-#342#-	10#-#-#-#127#359#12.7:1	14#-#-#-#114#356#8.1:1
水产学院	鱼山校区	0908水产	090802	捕捞学	学硕	8000	初试成绩按本专业排名	三年		101思想政治理论	201英语一	314数学(农)或315化学(农)	417普通生态学与鱼类学	F0503渔具渔法学	 -	普通化学#定量分析简明教程#有机化学#数学复习指南暨习题解析#基础生态学#养殖水域生态学#普通动物学#普通动物学	赵士铎#赵士铎#汪小兰#王来生#牛翠娟#董双林#刘凌云#张训蒲	第四版#第三版#第五版#-#第三版#-#第四版#第二版	中国农业大学出版社#中国农业大学出版社#高等教育出版社#中国农业大学出版社#高等教育出版社#中国农业出版社#高等教育出版社#中国农业出版社	 315化学（农）参考教材，为全国统考,前期也可以结合视频促进理解#315化学（农）参考教材#315化学（农）参考教材#314数学（农）参考书#417-为本科教材，结合大纲和真题梳理考点#417-为本科教材，结合大纲和真题梳理考点#417-结合大纲和真题梳理考点#417-结合大纲和真题梳理考点	11.png#12.png#13.png#a1.jpg#6.jpg#7.jpg#14.png#15.png	 -	 -	 -	 -	 -	 -	2021-4.xls	2021-4.xls#2020-4.xls	14#9#14#0#-#252#-	11#16#13#18.8%#-#325#-	13#-#-#-#49#320#3.8:1	5#-#-#-#18#279#3.6:1
水产学院	鱼山校区	0908水产	090803	渔业资源	学硕	8000	初试成绩按本专业排名	三年	-	101思想政治理论	201英语一	314数学（农）或315化学（农）	417普通生态学与鱼类学	F0504渔业生物学	 -	普通化学#定量分析简明教程#有机化学#数学复习指南暨习题解析#基础生态学#养殖水域生态学#普通动物学#普通动物学	赵士铎#赵士铎#汪小兰#王来生#牛翠娟#董双林#刘凌云#张训蒲	第四版#第三版#第五版#-#第三版#-#第四版#第二版	中国农业大学出版社#中国农业大学出版社#高等教育出版社#中国农业大学出版社#高等教育出版社#中国农业出版社#高等教育出版社#中国农业出版社	 315化学（农）参考教材#315化学（农）参考教材#315化学（农）参考教材#314数学（农）参考书#417-为本科教材，结合大纲和真题梳理考点#417-为本科教材，结合大纲和真题梳理考点#417-结合大纲和真题梳理考点#418-结合大纲和真题梳理考点	11.png#12.png#13.png#a1.jpg#6.jpg#7.jpg#14.png#15.png	渔业资源生物学	陈大刚	 -	 -	结合复试大纲梳理知识点	99.png	2021-5.xls	2021-5.xls#2020-5.xls	16#21#17#19%#-#350#-	18#30#24#20%#-#324#-	17#-#-#-#68#324#4:1	12#-#-#-#54#324#4.5:1
水产学院	鱼山校区	0951农业	095134	渔业发展	专硕	10000	初试成绩按本专业排名	三年	-	101思想政治理论	204英语二	340农业知识综合二	816普通动物学与普通生态学A	F0505水产专业综合考试	 -	水产动物营养与饲料学#水产动物生理学#动物遗传学#普通动物学#基础生态学#养殖水域生态学	麦康森#温海深#李宁#刘凌云、郑光美#牛翠娟#董双林	第二版#第一版#第三版#第四版#第三版#最新版	中国农业出版社#中国海洋大学出版社#中国农业出版社#高等教育出版社#高等教育出版社#中国农业出版社	340农综二推荐教材-务必仔细研读教材，结合大纲及真题梳理内容#340农综二推荐教材-海大老师主编，结合大纲及真题梳理内容#340农综二推荐教材#816-本科教材，内容全面，仔细过教材内容#816-本科教材，内容全面#816-本科教材，结合考纲梳理内容	16.png#17.png#18.png#14.png#6.jpg#7.jpg	 -	 -	 -	 -	 -	 -	2021-7.xls	2021-6.xls#2020-6.xls	34#57#44#22.8%#-#295#-	30#52#47#9.6%#-#258#-	29#-#-#-#7#286#1:1	29#-#-#-#49#255#1.7:1
水产学院	三亚研究生院	0951农业	095134	渔业发展（三亚）	专硕	10000	初试成绩按本专业排名	三年	-	101思想政治理论	204英语二	340农业知识综合二	816普通动物学与普通生态学A	F0505水产专业综合考试	 -	水产动物营养与饲料学#水产动物生理学#动物遗传学#普通动物学#基础生态学#养殖水域生态学	麦康森#温海深#李宁#刘凌云、郑光美#牛翠娟#董双林	第二版#第一版#第三版#第四版#第三版#最新版	中国农业出版社#中国海洋大学出版社#中国农业出版社#高等教育出版社#高等教育出版社#中国农业出版社	340农综二推荐教材-务必仔细研读教材，结合大纲及真题梳理内容#340农综二推荐教材-海大老师主编，结合大纲及真题梳理内容#340农综二推荐教材#816-本科教材，内容全面，仔细过教材内容#816-本科教材，内容全面#817-本科教材，结合考纲梳理内容	16.png#17.png#18.png#14.png#6.jpg#7.jpg	 -	 -	 -	 -	 -	 -	2021-6.xls	2021-7.xls#2020-7.xls	20#15#14#6.7%#-#280#-	10#12#21#-#-#253#-	10#-#-#-#0#255#0	10#-#-#-#0#255#0
海洋生命学院	鱼山校区	0707海洋科学	070703	海洋生物学	学硕	8000	初试成绩按本专业排名	三年	-	101思想政治理论	201英语一	612生物化学A	835基础生物学	F0601分子生物学	 -	生物化学（上下册）#动物生物学#植物生物学	朱圣庚、徐长法、王镜岩#许崇任、程红#周云龙	第4版#第2版#第3版	高等教育出版社#高等教育出版社#高等教育出版社	612生化-生化比较难啃，而且海大的题目考察较为细致，复习初期要熟悉课本的知识点，配套习题巩固知识点；真题很重要！务必利用好，结合真题分析考点，揣摩复习重点#835生物-结合大纲梳理知识点，并配合真题，海大的题目重复率蛮高，真题好好用#835生物-结合大纲梳理知识点，并配合真题，背诵知识点	1.jpg#2.png#3.png	现代分子生物学	朱玉贤	第4版	高等教育出版社	结合复试大纲梳理课本知识点	4.jpg	2021-1.xls	2021-1.xls#2020-1.xls	32#46#40#15.0%#-#300#-	33#53#46#13.2%#-#317#-	10#-#-#-#129#340#12.9:1	14#-#-#-#159#351#11.4:1
海洋生命学院	鱼山校区	0710生物学	071000	生物学	学硕	8000	初试成绩按本专业排名	三年	-	101思想政治理论	201英语一	612生物化学A	835基础生物学	F0601分子生物学	 -	生物化学（上下册）#动物生物学#植物生物学	朱圣庚、徐长法、王镜岩#许崇任、程红#周云龙	第4版#第2版#第3版	高等教育出版社#高等教育出版社#高等教育出版社	612生化-生化比较难啃，而且海大的题目考察较为细致，复习初期要熟悉课本的知识点，配套习题巩固知识点；真题很重要！务必利用好，结合真题分析考点，揣摩复习重点#835生物-结合大纲梳理知识点，并配合真题，海大的题目重复率蛮高，真题好好用#836生物-结合大纲梳理知识点，并配合真题，背诵知识点	1.jpg#2.png#3.png	现代分子生物学	朱玉贤	第4版	高等教育出版社	结合复试大纲梳理课本知识点	4.jpg	2021-2.xls	2021-2.xls#2020-2.xls	50#72#63#12.5%#-#309#-	28#61#55#9.8%#-#319#-	21#-#-#-#212#342#10.1:1	0#-#-#-#53#345#-
海洋生命学院	鱼山校区	0713生态学	071300	生态学	学硕	8000	初试成绩按本专业排名	三年	-	101思想政治理论	201英语一	612生物化学A	835基础生物学	F0602环境生物学	 -	生物化学（上下册）#动物生物学#植物生物学	朱圣庚、徐长法、王镜岩#许崇任、程红#周云龙	第4版#第2版#第3版	高等教育出版社#高等教育出版社#高等教育出版社	612生化-生化比较难啃，而且海大的题目考察较为细致，复习初期要熟悉课本的知识点，配套习题巩固知识点；真题很重要！务必利用好，结合真题分析考点，揣摩复习重点#835生物-结合大纲梳理知识点，并配合真题，海大的题目重复率蛮高，真题好好用#837生物-结合大纲梳理知识点，并配合真题，背诵知识点	1.jpg#2.png#3.png	环境生物学	孔繁翔	 -	高等教育出版社	结合复试大纲梳理课本知识点	5.jpg	2021-3.xls	2021-3.xls#2020-3.xls	37#50#44#12%#-#283#-	38#56#46#17.9%#-#311#-	18#-#-#-#151#340#8.4:1	20#-#-#-#151#345#7.5:1
海洋生命学院	鱼山校区	0860生物与医药	086000	生物与医药（生物工程方向）	专硕	10000	初试成绩按本专业排名	三年	-	101思想政治理论	204英语二	302数学二	972生物化学C	F0601分子生物学	 - 	生物化学#生物化学第四版 辅导与习题集	朱圣庚#李安明	第4版#第4版	高等教育出版社#西北工业大学出版社	生化比较难啃，而且海大的题目考察较为细致，复习初期要熟悉课本的知识点，配套习题巩固知识点；真题很重要！务必利用好，结合真题分析考点，揣摩复习重点#配套习题巩固知识点	1.jpg#6.jpg	现代分子生物学	朱玉贤	第4版	高等教育出版社	结合复试大纲梳理课本知识点	4.jpg	2021-4.xls	2021-4.xls#2020-4.xls	70#64#71#-#-#263#-	70#35#66#-#-#264#-	55#-#-#-#223#324#4.1:1	54#-#-#-#205#304#3.8:1
食品科学与工程学院	鱼山校区	0832食品科学与工程	083200	食品科学与工程	学硕	8000	初试成绩按本专业排名	三年	-	101思想政治理论	201英语一	302数学二	836生物化学B	F0701食品化学	 - 	生物化学（上下册）	朱圣庚 徐长法 王镜岩	第四版	高等教育出版社	复习时可以先结合海大的PPT理解课本相关知识点，内容做到心中有数，要做一定量的习题巩固知识点；充分利用好大纲和真题，了解海大的出题风格，其实海大的真题重复率比较高，真题一定要好好做，真题出过的题目要思考下考点以及出题思路是怎样的，举一反三；要注意一下时政热点，往年涉及诺奖较多，可以关注下	1.png	食品化学	汪东风	第二版	化学工业出版社	作者是海大老师，结合复试大纲把教材吃透，足以应对复试	2.jpg	2021-1.xls	2021-1.xls#2020-1.xls	10#14#14#0#-#365#-	10#21#18#14.3%#-#330#-	10#-#-#-#276#339#27.6:1	12#-#-#-#183#309#15.3:1
食品科学与工程学院	鱼山校区	0860生物与医药	086000	生物与医药（食品工程方向）	专硕	10000	初试成绩按本专业排名	三年	-	101思想政治理论	204英语二	302数学二	972生物化学C	F0701食品化学	 -	生物化学#生物化学第四版 辅导与习题集	朱圣庚# 李安明	第四版#第四版	高等教育出版社#西北工业大学出版社	复习时可以先结合海大的PPT理解课本相关知识点，内容做到心中有数，要做一定量的习题巩固知识点；充分利用好大纲和真题，了解海大的出题风格，其实海大的真题重复率比较高，真题一定要好好做，真题出过的题目要思考下考点以及出题思路是怎样的，举一反三；要注意一下时政热点，往年涉及诺奖较多，可以关注下#搭配课本做题	1.png#3.jpg	食品化学	汪东风	第二版	化学工业出版社	作者是海大老师，结合复试大纲把教材吃透，足以应对复试	2.jpg	2021-2.xls	2021-2.xls#2020-2.xls	44#56#51#9%#-#326#-	 45#63#63#0#-#264#-	20#-#-#-#183#342#9.2:1	24#-#-#-#222#306#9.2
食品科学与工程学院	三亚研究生院	0860生物与医药	086000	生物与医药（食品工程—三亚方向）	专硕	10000	初试成绩按本专业排名	三年	-	101思想政治理论	204英语二	302数学二	972生物化学C	F0701食品化学	 - 	生物化学#生物化学第四版 同步辅导与习题集	朱圣庚# 李安明	第四版# 第四版	高等教育出版社#西北工业大学出版社	复习时可以先结合海大的PPT理解课本相关知识点，内容做到心中有数，要做一定量的习题巩固知识点；充分利用好大纲和真题，了解海大的出题风格，其实海大的真题重复率比较高，真题一定要好好做，真题出过的题目要思考下考点以及出题思路是怎样的，举一反三；要注意一下时政热点，往年涉及诺奖较多，可以关注下#搭配课本做题	1.png#3.jpg	食品化学	汪东风	第二版	化学工业出版社	作者是海大老师，结合复试大纲把教材吃透，足以应对复试	2.jpg	2021-3.xls#2020-3.xls	2021-3.xls#2020-3.xls	20#17#16#6%#-#266#-	10#25#20#20%#-#264#-	-	-
食品科学与工程学院	鱼山校区	0860生物与医药	086000	生物与医药（食品工程—产教融合方向）	专硕	10000	初试成绩按本专业排名	三年	-	101思想政治理论	204英语二	302数学二	972生物化学C	F0701食品化学	 -	生物化学#生物化学第四版 同步辅导与习题集	朱圣庚# 李安明	第四版# 第四版	高等教育出版社#西北工业大学出版社	复习时可以先结合海大的PPT理解课本相关知识点，内容做到心中有数，要做一定量的习题巩固知识点；充分利用好大纲和真题，了解海大的出题风格，其实海大的真题重复率比较高，真题一定要好好做，真题出过的题目要思考下考点以及出题思路是怎样的，举一反三；要注意一下时政热点，往年涉及诺奖较多，可以关注下#搭配课本做题	1.png#3.jpg	食品化学	汪东风	第二版	化学工业出版社	作者是海大老师，结合复试大纲把教材吃透，足以应对复试	2.jpg	2021-4.xls	2021-4.xls	30#21#20#4.8%#-#263#-	-	-	-
食品科学与工程学院	鱼山校区	0951农业	095135	食品加工与安全	专硕	10000	初试成绩按本专业排名	三年	-	101思想政治理论	204英语二	341农业知识综合三	836生物化学B	F0701食品化学	 - 	生物化学（上下册）	朱圣庚 徐长法 王镜岩	第四版	高等教育出版社	复习时可以先结合海大的PPT理解课本相关知识点，内容做到心中有数，要做一定量的习题巩固知识点；充分利用好大纲和真题，了解海大的出题风格，其实海大的真题重复率比较高，真题一定要好好做，真题出过的题目要思考下考点以及出题思路是怎样的，举一反三；要注意一下时政热点，往年涉及诺奖较多，可以关注下	1.png	食品化学	汪东风	第二版	化学工业出版社	作者是海大老师，结合复试大纲把教材吃透，足以应对复试	2.jpg	2021-5.xls	2021-5.xls#2020-4.xls	26#37#35#5%#-#321#-	34#72#66#8%#-#284#-	22#-#-#-#119#327#5.4:1	12#-#-#-#112#318#9.3:1
食品科学与工程学院	鱼山校区	0951农业	095135	食品加工与安全（产教融合方向）	专硕	10000	初试成绩按本专业排名	三年	-	101思想政治理论	204英语二	341农业知识综合三	836生物化学B	F0701食品化学	 -	生物化学（上下册）	朱圣庚 徐长法 王镜岩	第四版	高等教育出版社	复习时可以先结合海大的PPT理解课本相关知识点，内容做到心中有数，要做一定量的习题巩固知识点；充分利用好大纲和真题，了解海大的出题风格，其实海大的真题重复率比较高，真题一定要好好做，真题出过的题目要思考下考点以及出题思路是怎样的，举一反三；要注意一下时政热点，往年涉及诺奖较多，可以关注下	1.png	食品化学	汪东风	第二版	化学工业出版社	作者是海大老师，结合复试大纲把教材吃透，足以应对复试	2.jpg	2021-6.xls	2021-6.xls	20#26#21#19%#-#252#-	-	-	-
医药学院	鱼山校区	1007药学	100701	药物化学	学硕	8000	初试成绩按一级学科排名	三年	-	101思想政治理论	201英语一	614专业基础综合A	 -	F0801药物化学	 -	生物化学#基础有机化学	朱圣庚#邢其毅	第四版#第四版	高等教育出版社#北京大学出版社	 如果时间比较充裕，建议看一下杨广笑的或者杨荣武的视频（b站有），对着课本看视频，看完视频回过头在看课本，不用全部记住所有的知识点，所需要做的是理解，有助于后期的背诵。#第一遍看书可结合李艳梅老师的视频，第二遍看书的时候再做题即可。	1.png#2.jpg	 -	 -	 -	 -	 -	 -	2021-1.xls	2021-1.xls#2020-1.xls	23#33#24#27%#-#346#-	 22#32#28#12.5%#-#371#-	16# -#-#-#52#321#3.3:1	5#-#-#-#97#356#19.4:1
医药学院	鱼山校区	1007药学	100702	药剂学	学硕	8000	初试成绩按一级学科排名	三年	-	101思想政治理论	201英语一	614专业基础综合A	 -	F0802药剂学	 -	生物化学#基础有机化学	朱圣庚#邢其毅	第四版#第四版	高等教育出版社#北京大学出版社	 如果时间比较充裕，建议看一下杨广笑的或者杨荣武的视频（b站有），对着课本看视频，看完视频回过头在看课本，不用全部记住所有的知识点，所需要做的是理解，有助于后期的背诵。#第一遍看书可结合李艳梅老师的视频，第二遍看书的时候再做题即可。	1.png#2.jpg	 -	 -	 -	 -	 -	 -	2021-2.xls	2021-1.xls#2020-1.xls	3#1#4#0#-#346#-	 1#1#1#0#-#371#-	 1#-#-#-#-#321#-	0#-#-#-#-#316#-
医药学院	鱼山校区	1007药学	100703	生药学	学硕	8000	初试成绩按一级学科排名	三年	-	101思想政治理论	201英语一	614专业基础综合A	 -	F0803生药学	 -	生物化学#基础有机化学	朱圣庚#邢其毅	第四版#第四版	高等教育出版社#北京大学出版社	 如果时间比较充裕，建议看一下杨广笑的或者杨荣武的视频（b站有），对着课本看视频，看完视频回过头在看课本，不用全部记住所有的知识点，所需要做的是理解，有助于后期的背诵。#第一遍看书可结合李艳梅老师的视频，第二遍看书的时候再做题即可。	1.png#2.jpg	 -	 -	 -	 -	 -	 -	2021-3.xls	2021-1.xls#2020-1.xls	1#1#1#0#-#346#-	 1#1#1#0#-#371#-	 1#-#-#-#28#321#28:1	2#-#-#-#15#300#7.5:1
医药学院	鱼山校区	1007药学	100704	药物分析学	学硕	8000	初试成绩按一级学科排名	三年	-	101思想政治理论	201英语一	614专业基础综合A	 -	F0804药物分析	 -	生物化学#基础有机化学	朱圣庚#邢其毅	第四版#第四版	高等教育出版社#北京大学出版社	 如果时间比较充裕，建议看一下杨广笑的或者杨荣武的视频（b站有），对着课本看视频，看完视频回过头在看课本，不用全部记住所有的知识点，所需要做的是理解，有助于后期的背诵。#第一遍看书可结合李艳梅老师的视频，第二遍看书的时候再做题即可。	1.png#2.jpg	 -	 -	 -	 -	 -	 -	2021-4.xls	2021-1.xls#2020-1.xls	2#12#5#58%#-#346#-	5#10#10#0#-#371#-	3#-#-#-#-#321#-#	 -#-#-#-#-#316#-
医药学院	鱼山校区	1007药学	100705	微生物与生化药学	学硕	8000	初试成绩按一级学科排名	三年	-	101思想政治理论	201英语一	614专业基础综合A	 -	F0805微生物学	 -	生物化学#基础有机化学	朱圣庚#邢其毅	第四版#第四版	高等教育出版社#北京大学出版社	 如果时间比较充裕，建议看一下杨广笑的或者杨荣武的视频（b站有），对着课本看视频，看完视频回过头在看课本，不用全部记住所有的知识点，所需要做的是理解，有助于后期的背诵。#第一遍看书可结合李艳梅老师的视频，第二遍看书的时候再做题即可。	1.png#2.jpg	 -	 -	 -	 -	 -	 -	2021-5.xls	2021-1.xls#2020-1.xls	2#0#5#0#-#346#-	 3#8#7#12.5%#-#371#-	3# -#-#-#15#321#5:1	2#-#-#-#13#316#6.5:1
医药学院	鱼山校区	1007药学	100706	药理学	学硕	8000	初试成绩按一级学科排名	三年	-	101思想政治理论	201英语一	614专业基础综合A	 -	F0806药理学	 -	生物化学#基础有机化学	朱圣庚#邢其毅	第四版#第四版	高等教育出版社#北京大学出版社	 如果时间比较充裕，建议看一下杨广笑的或者杨荣武的视频（b站有），对着课本看视频，看完视频回过头在看课本，不用全部记住所有的知识点，所需要做的是理解，有助于后期的背诵。#第一遍看书可结合李艳梅老师的视频，第二遍看书的时候再做题即可。	1.png#2.jpg	 -	 -	 -	 -	 -	 -	2021-6.xls	2021-1.xls#2020-1.xls	5#12#6#50%#-#346#-	9#11#11#0#-#371#-	5#-#-#-#38#321#7.6:1	2#-#-#-#19#300#9.5:1
医药学院	鱼山校区	0860生物与医药	086000	生物与医药（制药工程方向）	专硕	10000	初试成绩按本专业排名	三年	-	101思想政治理论	204英语二	302数学二	972生物化学C	F0801药物化学或F0807分子生物学	 -	生物化学#生物化学第四版 同步辅导与习题集	朱圣庚# -	第四版#第四版	高等教育出版社#西北工业大学出版社	如果时间比较充裕，建议看一下杨广笑的或者杨荣武的视频（b站有），对着课本看视频，看完视频回过头在看课本，不用全部记住所有的知识点，所需要做的是理解，有助于后期的背诵#内容解析全面	1.png#3.jpg	 -	 -	 -	 -	 -	 -	2021-7.xls	2021-6.xls#2020-7.xls	25#33#28#15.2%#-#274#-	 40#65#60#7.7%#-#273#-	35#-#-#-#92#273#2.6:1	45#-#-#-#77#260#1.7:1
医药学院	鱼山校区	0860生物与医药	086000	生物与医药（制药工程-产教融合方向）	专硕	10000	初试成绩按本专业排名	三年	-	101思想政治理论	204英语二	302数学二	972生物化学C	F0801药物化学或F0807分子生物学（任选一门）	 -	生物化学#生物化学第四版 同步辅导与习题集	朱圣庚# -	第四版#第四版	高等教育出版社#西北工业大学出版社	如果时间比较充裕，建议看一下杨广笑的或者杨荣武的视频（b站有），对着课本看视频，看完视频回过头在看课本，不用全部记住所有的知识点，所需要做的是理解，有助于后期的背诵#内容解析全面	1.png#3.jpg	 -	 -	 -	 -	 -	 -	2021-8.xls	2021-7.xls#-	30#28#27#3.6%#-#263#-	-	-	-
医药学院	鱼山校区	1055药学	105500	药学	专硕	10000	初试成绩按本专业排名	三年	-	102思想政治理论	204英语二	349药学综合	 -	F0801药物化学或F0807分子生物学（任选一门）		生物化学#基础有机化学	朱圣庚#邢其毅	第四版#第四版	高等教育出版社#北京大学出版社	 如果时间比较充裕，建议看一下杨广笑的或者杨荣武的视频（b站有），对着课本看视频，看完视频回过头在看课本，不用全部记住所有的知识点，所需要做的是理解，有助于后期的背诵。#第一遍看书可结合李艳梅老师的视频，第二遍看书的时候再做题即可。	1.png#2.jpg	 -	 -	 -	 -	 -	 -	2021-9.xls	2021-8.xls#2020-8.xls	40#54#51#5%#-#340#-	 20#35#53#-#-#300#-	 20#-#-#-#-#305#-	-
医药学院	鱼山校区	1055药学	105500	药学（产教融合方向）	专硕	10000	初试成绩按本专业排名	三年	-	103思想政治理论	204英语二	349药学综合	 -	F0801药物化学或F0807分子生物学		生物化学#基础有机化学	朱圣庚#邢其毅	第四版#第四版	高等教育出版社#北京大学出版社	 如果时间比较充裕，建议看一下杨广笑的或者杨荣武的视频（b站有），对着课本看视频，看完视频回过头在看课本，不用全部记住所有的知识点，所需要做的是理解，有助于后期的背诵。#第一遍看书可结合李艳梅老师的视频，第二遍看书的时候再做题即可。	1.png#2.jpg	 -	 -	 -	 -	 -	 -	2021-10.xls	2021-9.xls#-	20#20#15#25%#-#299#-	-	-	-
工程学院	崂山校区	0802机械工程	080200	机械工程	学硕	8000	初试成绩按本专业排名	三年	-	101思想政治理论	201英语一	301数学一	915机械设计(含机械原理）	F0901机械工程综合		机械设计#机械原理	濮良贵#孙恒	第十版#第八版	高等教育出版社#高等教育出版社	每一章节都要构建好框架，整理笔记。一是自己写一遍印象要深刻许多，二是为后面的做题打好基础，拿过笔记来就能直接找到公式，提高效率。像齿轮这个章节，零零散散的知识点很多，如果不整理框架根本就没办法全部掌握。#看书以理解为主，不贪快，即使对某一部分的内容不感兴趣，也要慢慢读，一定要明确该部分的含义和说明的问题。	4.jpg#2.jpg	-	-	-	-	-	-	2021-1.xls	2021-1.xls#2020-1.xls	6#7#6#14.3%#-#263#-	4#8#8#0#-#264#-	2#-#-#-#52#306#26:1	7#-#-#-#68#284#9.7:1
