招生学院	所在校区	一级学科	报考专业代码	二级学科	专硕or学硕	一年学费	排名方式	专业学制	专业说明	政治	外语	业务课一	业务课二	科目一	科目二	初试参考书名称	作者	版本号	出版社	说明	初试参考书图片名称	复试参考书名称	作者	版本号	出版社	说明	复试参考书图片名称	拟录取名单	复试名单	2021	2020	2019	2018
信息科学与工程学部	崂山校区	0705物理学	070503	地图学与地理信息系统	学硕	8000	初试成绩按该专业排名	三年	-	101思想政治理论	201英语一	302数学二	808地理信息系统	F0203 C++语言编程	-	地理信息系统#地理信息系统	汤国安#邬伦	第二版#-	科学出版社#科学出版社	内容与大纲贴合度最高，好好梳理知识点#此书辅助性教材，适当扩充下知识面	4.jpg#5.jpg	-	-	-	-	-	-	2021-dtxydlxxxt.xls	2021-dtxydlxxxt.xls#2020-dtxydlxxxt.xls	8#10#9#10%#-#362#-	8#15#17#0#-#325#-	5#-#-#-#48#308#9.6:1	5#-#-#-#51#351#10.2:1
信息科学与工程学部	崂山校区	0803光学工程	080300	光学工程	学硕	8000	初试成绩按该专业排名	三年	-	101思想政治理论	201英语一	301数学一	806普通物理	F0204现代光学综合	-	物理学	马文蔚	第六版	高等教育出版社	前两章的公式一定要认真记，这属于后面章节的基础。第三到第九章，这几个章节需要认真去看一下。第三、四的原理和公式比较多，有时会联合起来出大题。第五、六章重点掌握电场和电势的计算，课本例题上有一些典型的例题，要认真做完，答案也要背过。九、十章节有好几年没出大题，这两章难度并不是很大，但是也要认真掌握。第十到第十二章必考计算大题，所以一定要认真对待。后面的第十四、十五、十六章节主要是一些概念和简答的复习。	2.jpg	-	-	-	-	-	-	2021-gxgc.xls	2021-gxgc.xls#2020-gxgc.xls	6#11#10#9.1%#-#271#-	6#6#11#0#-#264#-	7#-#-#-#32#290#4.6:1	5#-#-#-#30#260#6：1
信息科学与工程学部	崂山校区	0810信息与通信工程	081001	通信与信息系统	学硕	8000	初试成绩按一级学科排名	三年	-	101思想政治理论	201英语一	301数学一	946信号与系统	F0205通信原理	-	信号与线性系统分析#信号与系统	吴大正#奥本海姆	第四版#第二版	高等教育出版社#电子工业出版社	习题一定要做好，不能忽视，并辅助名校真题讲解进行复习#参考946的考纲和真题进行学习	6.jpg#7.jpg	通信原理	樊昌信	第二版	国防工业出版社	-	8.jpg	2021-txyxxxt.xls	2021-xxytxgc.xls#2020-xxytxgc.xls	6#16#12#25%#-#279#-	6#19#15#21%#-#343#-	10#-#-#-#90#315#9:1	11#-#-#-#89#318#8.1:1
信息科学与工程学部	崂山校区	0810信息与通信工程	081002	信号与信息处理	学硕	8000	初试成绩按一级学科排名	三年	-	101思想政治理论	201英语一	301数学一	946信号与系统	F0206电子技术A	-	信号与线性系统分析#信号与系统	吴大正#奥本海姆	第四版#第二版	高等教育出版社#电子工业出版社	习题一定要做好，不能忽视，并辅助名校真题讲解进行复习#参考946的考纲和真题进行学习	6.jpg#7.jpg	模拟电子技术基础#数字电子技术基础	童诗白#阎石	第五版#第六版	高等教育出版社#高等教育出版社	稍微有点难度，可以在网上找一些名校真题做做#考纲内容一一掌握，课后习题至少做两遍，结合810真题，重点常考题目进行总结	9.jpg#10.jpg	2021-xhyxxcl.xls	2021-xxytxgc.xls#2020-xxytxgc.xls	5#6#6#0#-#279#-	5#5#9#0#-#343#-	5#-#-#-#44#315#8.8:1	7#-#-#-#52#315#7.4:1
信息科学与工程学部	崂山校区	0812计算机科学与技术	081200	计算机科学与技术	学硕	8000	初试成绩按该专业排名	三年	-	101思想政治理论	201英语一	301数学一	980计算机专业综合	F0211程序设计实践（上机）	-	数据结构#软件工程导论+软件工程导论学习辅导#计算机组成与系统结构	严蔚敏#张海藩#袁春风	c语言版#第六版（最新版）#第二版	清华大学出版社#清华大学出版社#清华大学出版社	结合大纲梳理知识点#基础阶段可以看复习提纲的笔记和重难点提炼，张海藩的教材相对繁杂不用抠太细，毕竟软件工程分值只占30分。有时间的话还可以拿海大的期末题做练习，后期需要腾出时间背软工的知识点。#结合大纲梳理知识点	11.jpg#12.jpg#13.jpg	C程序设计#C++语言程序设计#数据结构题集	谭浩强#郑莉#严蔚敏	最新版#第四版#C语言版	清华大学出版社#清华大学出版社#清华大学出版社	复试参考书作为参考，写代码是关键#依旧写代码是重点#结合复试大纲梳理内容	14.jpg#15.jpg#16.jpg	2021-jsjkxyjs.xls	2021-jsjkxyjs.xls#-	6#20#20#0#-#313#-	12#-#-#-#-#327#-	21#-#-#-#137#300#6.5:1	15#-#-#-#79#287#5.3:1
信息科学与工程学部	崂山校区	0812计算机科学与技术	0812Z1	保密科学与技术	学硕	8000	初试成绩按该专业排名	三年	-	101思想政治理论	201英语一	301数学一	940计算机网络与安全	F0216程序设计与攻防实践(上机)	-	计算机网络#计算机安全原理与实践	谢希仁#威廉·斯托林斯	第七版#第四版	电子工业出版社#机械工程出版社	重点教材，对照大纲看课本内容。问答与计算是重点。主要考信道利用率的、子网掩码的作用、ftp的交互过程等，前六章的知识点占比较高。#辅助性教材，适当扩充知识面	17.jpg#18.jpg							2021-bmkxyjs.xls	2021-bmkxyjs.xls#2020-bmkxyjs.xls	7#6#8#0#-#263#-	7#6#8#0#-#282#-	6#-#-#-#29#300#4.8:1	5#-#-#-#16#260#3.2:1
信息科学与工程学部	崂山校区	0812J1海洋技术	0812J1	海洋技术	学硕	8000	初试成绩按该专业排名	三年	-	101思想政治理论	201英语一	301数学一	810数字电子技术	F0214普通物理	-	数字电子技术基础	阎石	第六版	高等教育出版社	考纲内容一一掌握，课后习题至少做两遍，结合810真题，重点常考题目进行总结	10.jpg							2021-hyjs.xls	2021-hyjs.xls#2020-hyjs.xls	29#18#33#5.6%#-#263#-	20#9#31#0#-#264#-	-#-#-#-#-#-#-	-#-#-#-#-#-#-
信息科学与工程学部	崂山校区	0835软件工程	083500	软件工程	学硕	8000	初试成绩按该专业排名	三年	-	101思想政治理论	201英语一	301数学一	980计算机专业综合	F0211程序设计实践（上机）	-	数据结构#软件工程导论及软件工程导论学习辅导#计算机组成与系统结构	严蔚敏、吴伟民#张海藩、牟永敏#袁春风	c语言版#第六版（最新版）#第二版	清华大学出版社#清华大学出版社#清华大学出版社	结合大纲梳理知识点#基础阶段可以看复习提纲的笔记和重难点提炼，张海藩的教材相对繁杂不用抠太细，毕竟软件工程分值只占30分。有时间的话还可以拿海大的期末题做练习，后期需要腾出时间背软工的知识点。#-	11.jpg#12.jpg#13.jpg	C程序设计#C++语言程序设计#数据结构题集	谭浩强#郑莉#严蔚敏	最新版#第四版#C语言版	清华大学出版社#清华大学出版社#清华大学出版社	复试参考书作为参考，写代码是关键#依旧写代码是重点#结合复试大纲梳理内容	14.jpg#15.jpg#16.jpg	2021-rjgc.xls	2021-rjgc.xls#2020-rjgc.xls	6#9#8#11.11%#-#292#-	6#12#15#0#-#305#-	10#-#-#-#99#320#9.9:1	9#-#-#-#40#280#4.4:1
信息科学与工程学部	崂山校区	0854电子信息	085400	电子信息（电子与通信工程方向）	专硕	10000	初试成绩按该专业排名	三年	-	101思想政治理论	204英语二	302数学二	946 信号与系统	F0206电子技术A	-	信号与线性系统分析#信号与系统	吴大正#奥本海姆	第四版#第二版	高等教育出版社#电子工业出版社	习题一定要做好，不能忽视，并辅助名校真题讲解进行复习#参考946的考纲和真题进行学习	6.jpg#7.jpg	模拟电子技术基础#数字电子技术基础	童诗白#阎石	第五版#第六版	高等教育出版社#高等教育出版社	稍微有点难度，可以在网上找一些名校真题做做#考纲内容一一掌握，课后习题至少做两遍，结合810真题，重点常考题目进行总结	9.jpg#10.jpg	2021-dzxxdzytxgc.xls	2021-dzxxdzytxgc.xls-#2020-dzxxdzytxgcfx.xls	61#78#63#19.23%#-#334#-	65#119#111#6.72#-#344#-	53#-#-#-#353#338#6.7:1	52#-#-#-#277#310#4.4:1
信息科学与工程学部	崂山校区	0854电子信息	085400	电子信息（计算机技术与软件工程方向）	专硕	10000	初试成绩按该专业排名	三年	-	101思想政治理论	204英语二	302数学二	977高级程序设计与软件工程	F0211程序设计实践（上机）	-	C程序设计#软件工程导论及软件工程导论学习	谭浩强#张海藩	第五版#第六版	清华大学出版社#清华大学出版社	C语言是大头，复习时间也应分配得更多。建议跟着推荐视频课和教材书过基础，随后可以开刷海大C语言的本校期末题，很多题型和真题很像。之后把真题好好刷几遍。最后冲刺阶段可以回顾复习的笔记，再做适当的模拟题练习即可。#基础阶段可以看复习提纲的笔记和重难点提炼，张海藩的教材相对繁杂不用抠太细，毕竟软件工程分值只占30分。有时间的话还可以拿海大的期末题做练习。后期需要腾出时间背软工的知识点，多背多得。	14.jpg#12.jpg	C程序设计#C++语言程序设计#数据结构题集	谭浩强#郑莉#严蔚敏	最新版#第四版#C语言版	清华大学出版社#清华大学出版社#清华大学出版社	复试参考书作为参考，写代码是关键#依旧写代码是重点#结合复试大纲梳理内容	14.jpg#15.jpg#16.jpg	2021-dzxxjsjjsyrjgc.xls	2021-dzxxjsjjsyrjgc.xls#2020-dzxxjsjjsyrjgcfx.xls	60#83#69#16.9%#-#338#-	67#124#122#1.61%#-#195#-	70#-#-#-#712#357#10.2:1	55#-#-#-#423#320#7.7:1
